i	calc
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	2
21	3
22	3
23	3
24	3
25	3
26	3
27	3
28	3
29	3
30	4
31	5
32	6
33	6
34	6
35	6
36	6
37	6
38	6
39	6
40	7
41	8
42	9
43	10
44	10
45	10
46	10
47	10
48	10
49	10
50	11
51	12
52	13
53	14
54	15
55	15
56	15
57	15
58	15
59	15
60	16
61	17
62	18
63	19
64	20
65	21
66	21
67	21
68	21
69	21
70	22
71	23
72	24
73	25
74	26
75	27
76	28
77	28
78	28
79	28
80	29
81	30
82	31
83	32
84	33
85	34
86	35
87	36
88	36
89	36
90	37
91	38
92	39
93	40
94	41
95	42
96	43
97	44
98	45
99	45
100	46
101	46
102	46
103	46
104	46
105	46
106	46
107	46
108	46
109	46
110	46
111	46
112	46
113	46
114	46
115	46
116	46
117	46
118	46
119	46
120	46
121	46
122	46
123	46
124	46
125	46
126	46
127	46
128	46
129	46
130	46
131	46
132	46
133	46
134	46
135	46
136	46
137	46
138	46
139	46
140	46
141	46
142	46
143	46
144	46
145	46
146	46
147	46
148	46
149	46
150	46
151	46
152	46
153	46
154	46
155	46
156	46
157	46
158	46
159	46
160	46
161	46
162	46
163	46
164	46
165	46
166	46
167	46
168	46
169	46
170	46
171	46
172	46
173	46
174	46
175	46
176	46
177	46
178	46
179	46
180	46
181	46
182	46
183	46
184	46
185	46
186	46
187	46
188	46
189	46
190	46
191	46
192	46
193	46
194	46
195	46
196	46
197	46
198	46
199	46
200	47
201	48
202	48
203	48
204	48
205	48
206	48
207	48
208	48
209	48
210	49
211	50
212	50
213	50
214	50
215	50
216	50
217	50
218	50
219	50
220	50
221	50
222	50
223	50
224	50
225	50
226	50
227	50
228	50
229	50
230	50
231	50
232	50
233	50
234	50
235	50
236	50
237	50
238	50
239	50
240	50
241	50
242	50
243	50
244	50
245	50
246	50
247	50
248	50
249	50
250	50
251	50
252	50
253	50
254	50
255	50
256	50
257	50
258	50
259	50
260	50
261	50
262	50
263	50
264	50
265	50
266	50
267	50
268	50
269	50
270	50
271	50
272	50
273	50
274	50
275	50
276	50
277	50
278	50
279	50
280	50
281	50
282	50
283	50
284	50
285	50
286	50
287	50
288	50
289	50
290	50
291	50
292	50
293	50
294	50
295	50
296	50
297	50
298	50
299	50
300	51
301	52
302	53
303	53
304	53
305	53
306	53
307	53
308	53
309	53
310	54
311	55
312	56
313	56
314	56
315	56
316	56
317	56
318	56
319	56
320	57
321	58
322	59
323	59
324	59
325	59
326	59
327	59
328	59
329	59
330	59
331	59
332	59
333	59
334	59
335	59
336	59
337	59
338	59
339	59
340	59
341	59
342	59
343	59
344	59
345	59
346	59
347	59
348	59
349	59
350	59
351	59
352	59
353	59
354	59
355	59
356	59
357	59
358	59
359	59
360	59
361	59
362	59
363	59
364	59
365	59
366	59
367	59
368	59
369	59
370	59
371	59
372	59
373	59
374	59
375	59
376	59
377	59
378	59
379	59
380	59
381	59
382	59
383	59
384	59
385	59
386	59
387	59
388	59
389	59
390	59
391	59
392	59
393	59
394	59
395	59
396	59
397	59
398	59
399	59
400	60
401	61
402	62
403	63
404	63
405	63
406	63
407	63
408	63
409	63
410	64
411	65
412	66
413	67
414	67
415	67
416	67
417	67
418	67
419	67
420	68
421	69
422	70
423	71
424	71
425	71
426	71
427	71
428	71
429	71
430	72
431	73
432	74
433	75
434	75
435	75
436	75
437	75
438	75
439	75
440	75
441	75
442	75
443	75
444	75
445	75
446	75
447	75
448	75
449	75
450	75
451	75
452	75
453	75
454	75
455	75
456	75
457	75
458	75
459	75
460	75
461	75
462	75
463	75
464	75
465	75
466	75
467	75
468	75
469	75
470	75
471	75
472	75
473	75
474	75
475	75
476	75
477	75
478	75
479	75
480	75
481	75
482	75
483	75
484	75
485	75
486	75
487	75
488	75
489	75
490	75
491	75
492	75
493	75
494	75
495	75
496	75
497	75
498	75
499	75
500	76
501	77
502	78
503	79
504	80
505	80
506	80
507	80
508	80
509	80
510	81
511	82
512	83
513	84
514	85
515	85
516	85
517	85
518	85
519	85
520	86
521	87
522	88
523	89
524	90
525	90
526	90
527	90
528	90
529	90
530	91
531	92
532	93
533	94
534	95
535	95
536	95
537	95
538	95
539	95
540	96
541	97
542	98
543	99
544	100
545	100
546	100
547	100
548	100
549	100
550	100
551	100
552	100
553	100
554	100
555	100
556	100
557	100
558	100
559	100
560	100
561	100
562	100
563	100
564	100
565	100
566	100
567	100
568	100
569	100
570	100
571	100
572	100
573	100
574	100
575	100
576	100
577	100
578	100
579	100
580	100
581	100
582	100
583	100
584	100
585	100
586	100
587	100
588	100
589	100
590	100
591	100
592	100
593	100
594	100
595	100
596	100
597	100
598	100
599	100
600	101
601	102
602	103
603	104
604	105
605	106
606	106
607	106
608	106
609	106
610	107
611	108
612	109
613	110
614	111
615	112
616	112
617	112
618	112
619	112
620	113
621	114
622	115
623	116
624	117
625	118
626	118
627	118
628	118
629	118
630	119
631	120
632	121
633	122
634	123
635	124
636	124
637	124
638	124
639	124
640	125
641	126
642	127
643	128
644	129
645	130
646	130
647	130
648	130
649	130
650	131
651	132
652	133
653	134
654	135
655	136
656	136
657	136
658	136
659	136
660	136
661	136
662	136
663	136
664	136
665	136
666	136
667	136
668	136
669	136
670	136
671	136
672	136
673	136
674	136
675	136
676	136
677	136
678	136
679	136
680	136
681	136
682	136
683	136
684	136
685	136
686	136
687	136
688	136
689	136
690	136
691	136
692	136
693	136
694	136
695	136
696	136
697	136
698	136
699	136
700	137
701	138
702	139
703	140
704	141
705	142
706	143
707	143
708	143
709	143
710	144
711	145
712	146
713	147
714	148
715	149
716	150
717	150
718	150
719	150
720	151
721	152
722	153
723	154
724	155
725	156
726	157
727	157
728	157
729	157
730	158
731	159
732	160
733	161
734	162
735	163
736	164
737	164
738	164
739	164
740	165
741	166
742	167
743	168
744	169
745	170
746	171
747	171
748	171
749	171
750	172
751	173
752	174
753	175
754	176
755	177
756	178
757	178
758	178
759	178
760	179
761	180
762	181
763	182
764	183
765	184
766	185
767	185
768	185
769	185
770	185
771	185
772	185
773	185
774	185
775	185
776	185
777	185
778	185
779	185
780	185
781	185
782	185
783	185
784	185
785	185
786	185
787	185
788	185
789	185
790	185
791	185
792	185
793	185
794	185
795	185
796	185
797	185
798	185
799	185
800	186
801	187
802	188
803	189
804	190
805	191
806	192
807	193
808	193
809	193
810	194
811	195
812	196
813	197
814	198
815	199
816	200
817	201
818	201
819	201
820	202
821	203
822	204
823	205
824	206
825	207
826	208
827	209
828	209
829	209
830	210
831	211
832	212
833	213
834	214
835	215
836	216
837	217
838	217
839	217
840	218
841	219
842	220
843	221
844	222
845	223
846	224
847	225
848	225
849	225
850	226
851	227
852	228
853	229
854	230
855	231
856	232
857	233
858	233
859	233
860	234
861	235
862	236
863	237
864	238
865	239
866	240
867	241
868	241
869	241
870	242
871	243
872	244
873	245
874	246
875	247
876	248
877	249
878	249
879	249
880	249
881	249
882	249
883	249
884	249
885	249
886	249
887	249
888	249
889	249
890	249
891	249
892	249
893	249
894	249
895	249
896	249
897	249
898	249
899	249
900	250
901	251
902	252
903	253
904	254
905	255
906	256
907	257
908	258
909	258
910	259
911	260
912	261
913	262
914	263
915	264
916	265
917	266
918	267
919	267
920	268
921	269
922	270
923	271
924	272
925	273
926	274
927	275
928	276
929	276
930	277
931	278
932	279
933	280
934	281
935	282
936	283
937	284
938	285
939	285
940	286
941	287
942	288
943	289
944	290
945	291
946	292
947	293
948	294
949	294
950	295
951	296
952	297
953	298
954	299
955	300
956	301
957	302
958	303
959	303
960	304
961	305
962	306
963	307
964	308
965	309
966	310
967	311
968	312
969	312
970	313
971	314
972	315
973	316
974	317
975	318
976	319
977	320
978	321
979	321
980	322
981	323
982	324
983	325
984	326
985	327
986	328
987	329
988	330
989	330
990	330
991	330
992	330
993	330
994	330
995	330
996	330
997	330
998	330
999	330
1000	331
1001	331
1002	331
1003	331
1004	331
1005	331
1006	331
1007	331
1008	331
1009	331
1010	331
1011	331
1012	331
1013	331
1014	331
1015	331
1016	331
1017	331
1018	331
1019	331
1020	331
1021	331
1022	331
1023	331
1024	331
1025	331
1026	331
1027	331
1028	331
1029	331
1030	331
1031	331
1032	331
1033	331
1034	331
1035	331
1036	331
1037	331
1038	331
1039	331
1040	331
1041	331
1042	331
1043	331
1044	331
1045	331
1046	331
1047	331
1048	331
1049	331
1050	331
1051	331
1052	331
1053	331
1054	331
1055	331
1056	331
1057	331
1058	331
1059	331
1060	331
1061	331
1062	331
1063	331
1064	331
1065	331
1066	331
1067	331
1068	331
1069	331
1070	331
1071	331
1072	331
1073	331
1074	331
1075	331
1076	331
1077	331
1078	331
1079	331
1080	331
1081	331
1082	331
1083	331
1084	331
1085	331
1086	331
1087	331
1088	331
1089	331
1090	331
1091	331
1092	331
1093	331
1094	331
1095	331
1096	331
1097	331
1098	331
1099	331
1100	331
1101	331
1102	331
1103	331
1104	331
1105	331
1106	331
