s	t	ans
AAAAA	AAAAA	0
AAAAB	AAAAA	-1
AAABA	AAAAA	-1
AAABB	AAAAA	-1
AABAA	AAAAA	-1
AABAB	AAAAA	-1
AABBA	AAAAA	-1
AABBB	AAAAA	-1
ABAAA	AAAAA	-1
ABAAB	AAAAA	-1
ABABA	AAAAA	-1
ABABB	AAAAA	-1
ABBAA	AAAAA	-1
ABBAB	AAAAA	-1
ABBBA	AAAAA	-1
ABBBB	AAAAA	-1
BAAAA	AAAAA	-1
BAAAB	AAAAA	-1
BAABA	AAAAA	-1
BAABB	AAAAA	-1
BABAA	AAAAA	-1
BABAB	AAAAA	-1
BABBA	AAAAA	-1
BABBB	AAAAA	-1
BBAAA	AAAAA	-1
BBAAB	AAAAA	-1
BBABA	AAAAA	-1
BBABB	AAAAA	-1
BBBAA	AAAAA	-1
BBBAB	AAAAA	-1
BBBBA	AAAAA	-1
BBBBB	AAAAA	-1
AAAAA	AAAAB	1
AAAAB	AAAAB	0
AAABA	AAAAB	1
AAABB	AAAAB	1
AABAA	AAAAB	1
AABAB	AAAAB	1
AABBA	AAAAB	2
AABBB	AAAAB	2
ABAAA	AAAAB	1
ABAAB	AAAAB	1
ABABA	AAAAB	2
ABABB	AAAAB	2
ABBAA	AAAAB	2
ABBAB	AAAAB	2
ABBBA	AAAAB	3
ABBBB	AAAAB	3
BAAAA	AAAAB	1
BAAAB	AAAAB	1
BAABA	AAAAB	2
BAABB	AAAAB	2
BABAA	AAAAB	2
BABAB	AAAAB	2
BABBA	AAAAB	3
BABBB	AAAAB	3
BBAAA	AAAAB	2
BBAAB	AAAAB	2
BBABA	AAAAB	3
BBABB	AAAAB	3
BBBAA	AAAAB	3
BBBAB	AAAAB	3
BBBBA	AAAAB	4
BBBBB	AAAAB	4
AAAAA	AAABA	1
AAAAB	AAABA	-1
AAABA	AAABA	0
AAABB	AAABA	-1
AABAA	AAABA	1
AABAB	AAABA	-1
AABBA	AAABA	1
AABBB	AAABA	-1
ABAAA	AAABA	1
ABAAB	AAABA	-1
ABABA	AAABA	1
ABABB	AAABA	-1
ABBAA	AAABA	2
ABBAB	AAABA	-1
ABBBA	AAABA	2
ABBBB	AAABA	-1
BAAAA	AAABA	1
BAAAB	AAABA	-1
BAABA	AAABA	1
BAABB	AAABA	-1
BABAA	AAABA	2
BABAB	AAABA	-1
BABBA	AAABA	2
BABBB	AAABA	-1
BBAAA	AAABA	2
BBAAB	AAABA	-1
BBABA	AAABA	2
BBABB	AAABA	-1
BBBAA	AAABA	3
BBBAB	AAABA	-1
BBBBA	AAABA	3
BBBBB	AAABA	-1
AAAAA	AAABB	2
AAAAB	AAABB	1
AAABA	AAABB	1
AAABB	AAABB	0
AABAA	AAABB	2
AABAB	AAABB	1
AABBA	AAABB	1
AABBB	AAABB	1
ABAAA	AAABB	2
ABAAB	AAABB	1
ABABA	AAABB	1
ABABB	AAABB	1
ABBAA	AAABB	2
ABBAB	AAABB	2
ABBBA	AAABB	2
ABBBB	AAABB	2
BAAAA	AAABB	2
BAAAB	AAABB	1
BAABA	AAABB	1
BAABB	AAABB	1
BABAA	AAABB	2
BABAB	AAABB	2
BABBA	AAABB	2
BABBB	AAABB	2
BBAAA	AAABB	2
BBAAB	AAABB	2
BBABA	AAABB	2
BBABB	AAABB	2
BBBAA	AAABB	3
BBBAB	AAABB	3
BBBBA	AAABB	3
BBBBB	AAABB	3
AAAAA	AABAA	1
AAAAB	AABAA	-1
AAABA	AABAA	-1
AAABB	AABAA	-1
AABAA	AABAA	0
AABAB	AABAA	-1
AABBA	AABAA	-1
AABBB	AABAA	-1
ABAAA	AABAA	1
ABAAB	AABAA	-1
ABABA	AABAA	-1
ABABB	AABAA	-1
ABBAA	AABAA	1
ABBAB	AABAA	-1
ABBBA	AABAA	-1
ABBBB	AABAA	-1
BAAAA	AABAA	1
BAAAB	AABAA	-1
BAABA	AABAA	-1
BAABB	AABAA	-1
BABAA	AABAA	1
BABAB	AABAA	-1
BABBA	AABAA	-1
BABBB	AABAA	-1
BBAAA	AABAA	2
BBAAB	AABAA	-1
BBABA	AABAA	-1
BBABB	AABAA	-1
BBBAA	AABAA	2
BBBAB	AABAA	-1
BBBBA	AABAA	-1
BBBBB	AABAA	-1
AAAAA	AABAB	2
AAAAB	AABAB	1
AAABA	AABAB	2
AAABB	AABAB	1
AABAA	AABAB	1
AABAB	AABAB	0
AABBA	AABAB	1
AABBB	AABAB	1
ABAAA	AABAB	2
ABAAB	AABAB	1
ABABA	AABAB	2
ABABB	AABAB	2
ABBAA	AABAB	1
ABBAB	AABAB	1
ABBBA	AABAB	2
ABBBB	AABAB	2
BAAAA	AABAB	2
BAAAB	AABAB	1
BAABA	AABAB	2
BAABB	AABAB	2
BABAA	AABAB	1
BABAB	AABAB	1
BABBA	AABAB	2
BABBB	AABAB	2
BBAAA	AABAB	2
BBAAB	AABAB	2
BBABA	AABAB	3
BBABB	AABAB	3
BBBAA	AABAB	2
BBBAB	AABAB	2
BBBBA	AABAB	3
BBBBB	AABAB	3
AAAAA	AABBA	2
AAAAB	AABBA	-1
AAABA	AABBA	1
AAABB	AABBA	-1
AABAA	AABBA	1
AABAB	AABBA	-1
AABBA	AABBA	0
AABBB	AABBA	-1
ABAAA	AABBA	2
ABAAB	AABBA	-1
ABABA	AABBA	1
ABABB	AABBA	-1
ABBAA	AABBA	1
ABBAB	AABBA	-1
ABBBA	AABBA	1
ABBBB	AABBA	-1
BAAAA	AABBA	2
BAAAB	AABBA	-1
BAABA	AABBA	1
BAABB	AABBA	-1
BABAA	AABBA	1
BABAB	AABBA	-1
BABBA	AABBA	1
BABBB	AABBA	-1
BBAAA	AABBA	2
BBAAB	AABBA	-1
BBABA	AABBA	2
BBABB	AABBA	-1
BBBAA	AABBA	2
BBBAB	AABBA	-1
BBBBA	AABBA	2
BBBBB	AABBA	-1
AAAAA	AABBB	3
AAAAB	AABBB	2
AAABA	AABBB	2
AAABB	AABBB	1
AABAA	AABBB	2
AABAB	AABBB	1
AABBA	AABBB	1
AABBB	AABBB	0
ABAAA	AABBB	3
ABAAB	AABBB	2
ABABA	AABBB	2
ABABB	AABBB	1
ABBAA	AABBB	2
ABBAB	AABBB	1
ABBBA	AABBB	1
ABBBB	AABBB	1
BAAAA	AABBB	3
BAAAB	AABBB	2
BAABA	AABBB	2
BAABB	AABBB	1
BABAA	AABBB	2
BABAB	AABBB	1
BABBA	AABBB	1
BABBB	AABBB	1
BBAAA	AABBB	3
BBAAB	AABBB	2
BBABA	AABBB	2
BBABB	AABBB	2
BBBAA	AABBB	2
BBBAB	AABBB	2
BBBBA	AABBB	2
BBBBB	AABBB	2
AAAAA	ABAAA	1
AAAAB	ABAAA	-1
AAABA	ABAAA	-1
AAABB	ABAAA	-1
AABAA	ABAAA	-1
AABAB	ABAAA	-1
AABBA	ABAAA	-1
AABBB	ABAAA	-1
ABAAA	ABAAA	0
ABAAB	ABAAA	-1
ABABA	ABAAA	-1
ABABB	ABAAA	-1
ABBAA	ABAAA	-1
ABBAB	ABAAA	-1
ABBBA	ABAAA	-1
ABBBB	ABAAA	-1
BAAAA	ABAAA	1
BAAAB	ABAAA	-1
BAABA	ABAAA	-1
BAABB	ABAAA	-1
BABAA	ABAAA	-1
BABAB	ABAAA	-1
BABBA	ABAAA	-1
BABBB	ABAAA	-1
BBAAA	ABAAA	1
BBAAB	ABAAA	-1
BBABA	ABAAA	-1
BBABB	ABAAA	-1
BBBAA	ABAAA	-1
BBBAB	ABAAA	-1
BBBBA	ABAAA	-1
BBBBB	ABAAA	-1
AAAAA	ABAAB	2
AAAAB	ABAAB	1
AAABA	ABAAB	2
AAABB	ABAAB	1
AABAA	ABAAB	2
AABAB	ABAAB	1
AABBA	ABAAB	2
AABBB	ABAAB	2
ABAAA	ABAAB	1
ABAAB	ABAAB	0
ABABA	ABAAB	1
ABABB	ABAAB	1
ABBAA	ABAAB	1
ABBAB	ABAAB	1
ABBBA	ABAAB	2
ABBBB	ABAAB	2
BAAAA	ABAAB	2
BAAAB	ABAAB	1
BAABA	ABAAB	2
BAABB	ABAAB	2
BABAA	ABAAB	2
BABAB	ABAAB	2
BABBA	ABAAB	3
BABBB	ABAAB	3
BBAAA	ABAAB	1
BBAAB	ABAAB	1
BBABA	ABAAB	2
BBABB	ABAAB	2
BBBAA	ABAAB	2
BBBAB	ABAAB	2
BBBBA	ABAAB	3
BBBBB	ABAAB	3
AAAAA	ABABA	2
AAAAB	ABABA	-1
AAABA	ABABA	1
AAABB	ABABA	-1
AABAA	ABABA	2
AABAB	ABABA	-1
AABBA	ABABA	1
AABBB	ABABA	-1
ABAAA	ABABA	1
ABAAB	ABABA	-1
ABABA	ABABA	0
ABABB	ABABA	-1
ABBAA	ABABA	1
ABBAB	ABABA	-1
ABBBA	ABABA	1
ABBBB	ABABA	-1
BAAAA	ABABA	2
BAAAB	ABABA	-1
BAABA	ABABA	1
BAABB	ABABA	-1
BABAA	ABABA	2
BABAB	ABABA	-1
BABBA	ABABA	2
BABBB	ABABA	-1
BBAAA	ABABA	1
BBAAB	ABABA	-1
BBABA	ABABA	1
BBABB	ABABA	-1
BBBAA	ABABA	2
BBBAB	ABABA	-1
BBBBA	ABABA	2
BBBBB	ABABA	-1
AAAAA	ABABB	3
AAAAB	ABABB	2
AAABA	ABABB	2
AAABB	ABABB	1
AABAA	ABABB	3
AABAB	ABABB	2
AABBA	ABABB	2
AABBB	ABABB	1
ABAAA	ABABB	2
ABAAB	ABABB	1
ABABA	ABABB	1
ABABB	ABABB	0
ABBAA	ABABB	2
ABBAB	ABABB	1
ABBBA	ABABB	1
ABBBB	ABABB	1
BAAAA	ABABB	3
BAAAB	ABABB	2
BAABA	ABABB	2
BAABB	ABABB	1
BABAA	ABABB	3
BABAB	ABABB	2
BABBA	ABABB	2
BABBB	ABABB	2
BBAAA	ABABB	2
BBAAB	ABABB	1
BBABA	ABABB	1
BBABB	ABABB	1
BBBAA	ABABB	2
BBBAB	ABABB	2
BBBBA	ABABB	2
BBBBB	ABABB	2
AAAAA	ABBAA	2
